Date,Open,High,Low,Close,Volume,Market Cap,Created_At,Sum of retweet_count,Sum of favorite_count,Avg Retweet,Avg favorite_count,Google Trends,Num_upvotes,Avg_Up_Ratio,Post_Count,Comments_Count,Dependent Variable
6/27/2017,5.35,7.26,5.09,6.83,71029700,267538000,4,115,82,28.75,20.5,61,0,0,0,0,1
6/26/2017,5.95,6.22,4.42,5.53,27615900,297587000,3,4,3,1.333333333,1,63,78,0.935,2,74,0
6/25/2017,6.29,6.46,5.66,5.95,24890900,314543000,10,3288,11,328.8,1.1,61,0,0,0,0,0
6/24/2017,6.87,7.11,6.25,6.3,33359500,343738000,2,56,74,28,37,62,93,0.96,2,15,0
6/23/2017,6.92,7.43,5.78,6.84,67033300,346025000,2,104,0,52,0,61,0,0,0,0,0
6/22/2017,10.16,10.51,6.9,6.94,115249000,507921000,2,75,9,37.5,4.5,61,115,0.985,2,11,0
6/21/2017,8.04,10.21,7.81,10.15,88374400,401956000,0,0,0,0,0,59,34,0.93,1,14,1
6/20/2017,11.79,11.79,7.87,8,126661000,589390000,4,122,6,30.5,1.5,58,115,0.973333333,3,9,0
6/19/2017,5.46,11.81,5.46,11.72,281341000,273011000,0,0,0,0,0,61,0,0,0,0,1
6/18/2017,3.79,5.26,3.47,5.26,61381000,189717000,3,83,155,27.66666667,51.66666667,61,41,0.99,1,22,1
6/17/2017,2.8,4.18,2.7,3.76,82601000,139894000,11,132,59,12,5.363636364,63,130,0.96,1,515,1
6/16/2017,1.8,2.81,1.72,2.77,45782200,90202000,0,0,0,0,0,60,138,0.92,3,146,1
6/15/2017,1.74,1.84,1.54,1.78,9550940,86947000,0,0,0,0,0,61,121,0.83,3,149,1
6/14/2017,1.81,1.94,1.68,1.74,10497200,90657000,0,0,0,0,0,59,122,0.965,2,98,0
6/13/2017,1.5,1.86,1.5,1.81,10456500,75221500,8,193,37,24.125,4.625,59,76,0,0,24,1
6/12/2017,1.67,1.69,1.4,1.51,7492490,83716000,0,0,0,0,0,60,0,0,0,0,0
6/11/2017,1.69,1.73,1.52,1.67,6479410,84426000,0,0,0,0,0,62,0,0,0,0,0
